355.3	Organización general de las fuerzas armadas.
355.4	Táctica. Estrategia. Historia de las campañas.
355.7	Organización de establecimientos, edificios e instalaciones militares.
356/359	Cuerpos armados.
36	Trabajo social. Ayuda social.
364	Asistencia social.
366	Consumismo.
368	Seguros.
369	Seguridad Social.
37	Educación. Enseñanza.
37.01	Bases de la educación. Pedagogía. Política educativa.
37.015	Psicología pedagógica. Sociología de la educación.
37.02	Didáctica y metodología.
37.03	Formación de la inteligencia y de la personalidad.
37.04	Orientación educativa.
371	Organización de la educación y la enseñanza. Instituciones.
372	Contenido y currículum de la enseñanza preescolar y elemental.
373	Enseñanza escolar en general.
373.2	Enseñanza preescolar.
373.3	Enseñanza primaria.
373.5	Enseñanza secundaria.
374	Enseñanza y educación extraescolares.
376	Enseñanza y educación de grupos especiales.
377	Formación profesional. Enseñanzas técnicas.
378	Enseñanza superior. Universidades y escuelas especiales con estatus universitario.
379.8	Tiempo libre. Ocio.
379.82	Tiempo libre en el hogar. Aficiones. Manualidades.
379.83	Entretenimientos exteriores (albergues, campamentos).
379.85	Turismo. Organización.
39	Etnografía. Etnología.
391	Vestimenta. Indumentaria. Moda.
392	Usos y costumbres en la vida privada.
393	Muerte. Funerales. Ritos funerarios.
394	Vida pública. Vida social.
394.2	Fiestas populares. Fiestas nacionales.
395	Ceremonial. Etiqueta. Protocolo.
397.7	Usos y costumbres de razas especiales (gitanos, nómadas, etc.).
398	Folclore.
398.2	Narraciones, fábulas, sagas, leyendas, chistes.
398.8	Cancionero popular.
398.9	Proverbios, dichos populares.
5	Ciencias Puras. Ciencias Exactas y Naturales 502 Estudio, conservación y protección de la naturaleza.
502	Estudio, conservación y protección de la naturaleza.
504	Ciencias del medio ambiente.
51	Matemáticas.
511	Aritmética. Teoría de los números.
512	Álgebra.
514	Geometría.
515.1	Topología.
517	Análisis matemático.
519.1	Análisis combinatorio. Teoría de los grafos.
519.2	Probabilidad y estadística matemática.
519.6	Matemáticas computacionales. Análisis numérico.
519.7	Cibernética matemática.
519.8	Investigación operativa. Teoría de los juegos.
52	Astronomía. Astrofísica. Investigación espacial. Geodesia.
521	Astronomía teórica. Mecánica celeste. Astrometría.
523	Sistema solar.
524	Estrellas. El universo.
527	Astronomía náutica. Aeronáutica.
528	Geodesia. Topografía. Cartografía.
53	Física.
531	Mecánica general. Mecánica de los cuerpos sólidos y rígidos.
531.5	Gravitación. Péndulos. Balística.
532	Mecánica de los fluidos. Hidráulica.
533	Mecánica de los gases. Aerodinámica.
534	Acústica.
535	Óptica.
536	Termodinámica.
537	Electricidad. Magnetismo.
538.9	Física de la materia condensada.
539.1	Física nuclear. Física atómica. Física molecular.
54	Química.
542	Química experimental.
543	Química analítica.
544	Química física.
546	Química inorgánica.
547	Química orgánica.
548	Cristalografía.
549	Mineralogía.
55	Geología y ciencias afines. Geología regional.
550.34	Sismología. Terremotos en general.
551.1	La Tierra.
551.2	Geodinámica interna.
551.3	Geodinámica externa. Glaciares.
551.4	Geomorfología.
551.44	Espeleología. Cuevas, grutas. Aguas subterráneas.
551.46	Oceanografía.
551.5	Meteorología.
551.58	Climatología.
551.7	Geología histórica. Estratigrafía.
552	Petrología. Petrografía.
553	Geología económica. Minerografía. Yacimientos de minerales.
556	Hidrosfera. Agua en general. Hidrología.
56	Paleontología. Fósiles.
57	Ciencias biológicas en general.
572	Antropología.
573	Biología general.
574	Ecología general.
575	Genética.
576	Biología celular. Citología.
577	Bioquímica. Biología molecular. Biofísica.
578	Virología.
579	Microbiología.
58	Botánica.
581.1	Fisiología vegetal.
581.9	Geografía botánica. Flora.
582	Botánica sistemática.
59	Zoología.
591.1	Fisiología animal.
591.9	Zoología geográfica. Fauna.
592	Invertebrados.
594	Moluscos.
595	Articulados.
597.2	Peces. Ictiología.
597.6	Anfibios.
597/599	Vertebrados en general.
598	Saurópsidos (reptiles).
598.2	Aves. Ornitología.
599	Mamíferos.
6	Ciencias Aplicadas. Medicina. Técnica.
61	Medicina.
611	Anatomía.
612	Fisiología.
613	Higiene. Sanidad privada.
613.2	Higiene de la alimentación. Dietética.
613.4	Cuidado del cuerpo.
613.5	Higiene de la vivienda.
613.6	Higiene industrial y profesional.
613.7	Higiene del descanso.
613.81	Bebidas alcohólicas.
613.83	Drogas.
613.84	Tabaco.
613.88	Higiene sexual.
614	Sanidad pública. Prevención de accidentes.
614.2	Personal sanitario.
615	Medicamentos. Farmacología. Terapéutica física. Toxicología.
616	Patología general. Medicina clínica. Terapéutica.
616.1	Patología del aparato respiratorio.
616.2	Patología del aparato respiratorio.
616.3	Patología del aparato digestivo. Estomatología.
616.4	Endocrinología. Patología del aparato linfático.
616.5	Dermatología.
616.6	Patología del aparato genito-urinario.
616.7	Patología del aparato locomotor.
616.8	Neurología. Neuropatología. Psiquiatría.
616.9	Enfermedades infecciosas y contagiosas.
616-053.2	Pediatría.
616-053.9	Geriatría.
617	Cirugía. Ortopedia. Oftalmología.
617.3	Ortopedia.
617.5	Cirugía.
617.7	Oftalmología.
618	Ginecología. Obstetricia.
619	Medicina veterinaria.
62	Tecnología en general. Máquinas en general, sus propiedades y características.
620	Ensayo de materiales. Centrales de energía. Economía de la energía.
621	Ingeniería mecánica. Técnica en general.
621.039	Técnica nuclear. Energía nuclear y atómica en general.
621.1	Máquinas de vapor. Calderas.
621.22	Energía hidráulica. Fuerza hidroeléctrica.
621.3	Ingeniería eléctrica. Electrotecnia.
621.39	Telecomunicaciones.
621.4	Motores térmicos y otros motores especiales.
621.5	Energía neumática. Tecnología del frío.
621.6	Máquinas y dispositivos para el transporte y almacenamiento de gases y fluidos.
621.7	Tratamiento mecanizado en general (sin arranque de material).
621.8	Transmisión mecánica. Engranajes. Medios, formas, dispositivos para la transmisión de productos. Lubricación.
621.9	Máquinas herramientas. Transformación (con arranque de material).
622	Minería.
623	Ingeniería militar.
624	Ingeniería civil.
625	Técnica de las vías de comunicación terrestres.
626	Ingeniería hidráulica. Construcciones en general. Canales, riegos, drenajes.
627	Cursos de agua naturales. Trabajos hidráulicos en los ríos y en el mar.
628	Ingeniería sanitaria. Agua. Saneamiento. Ingeniería de la iluminación.
628.9	Alumbrado. Luminotecnia.
629	Ingeniería del transporte. Técnica de los medios de transporte. Vehículos en general.
629.3	Vehículos terrestres (excepto sobre raíles).
629.4	Técnica de los medios de transporte sobre raíles.
629.5	Ingeniería de los vehículos acuáticos. Ingeniería naval. Barcos, buques.
629.7	Técnica de los medios de transporte aéreo y espacial. Aeronáutica.
63	Agricultura.
630	Silvicultura. Ingeniería forestal.
631	Agronomía. Técnicas agrícolas.
632	Enfermedades y plagas de las plantas. Fitopatología.
633	Cultivos específicos. Cereales. Forrajes.
634	Horticultura en general. Árboles frutales. Viticultura.
635	Horticultura especial. Plantas comestibles (hortalizas). Floricultura.
636	Zootecnia general. Ganadería, cría de animales.
637	Productos de los animales domésticos, de la caza y de la pesca.
638	Cría de insectos. Apicultura. Sericultura.
639	Caza y pesca industriales. Piscicultura.
639.1	Caza.
639.2	Pesca.
639.3	Piscicultura.
64	Economía doméstica. Cuidado y administración del hogar. Hostelería.
640.4	Empresas de hostelería y restauración.
641	Alimentos.
641.5	Arte culinario.
643	La vivienda.
649	Cuidado doméstico de niños, enfermos e invitados.
649.1	Cuidado de niños.
65.	Organización y gestión de la industria, el comercio y de las comunicaciones.
65.01	Cuestiones de método. Teoría y práctica de la organización.
651	Organización y técnicas de trabajo en las oficinas.
654	Organización y gestión de la telecomunicación.
654.19	Radio. Televisión (Radiodifusión).
655	Industrias gráficas. Industrias del libro. Imprenta. Editoriales. Librerías.
656	Organización y gestión de los transportes. Servicio postal.
656.1	Transporte por carretera.
656.2	Transporte ferroviario.
656.6	Transporte por agua.
656.7	Transporte aéreo.
656.71	Aeropuertos.
656.8	Correos. Filatelia.
657	Contabilidad. Auditoría.
658	Organización de empresas. Técnica comercial.
658.3	Personal. Relaciones humanas en la empresa 658.8 Organización de mercados. «Marketing». Ventas. Distribución.
658.8	Organización de mercados. «Marketing». Ventas. Distribución.
659	Publicidad y propaganda. Información comercial. Relaciones públicas.
66	Industria química. Tecnología química. Industrias afines.
661	Productos químicos en general.
662	Pirotecnia. Explosivos. Combustibles.
662.2	Explosivos.
663	Microbiología y micología industriales. Bebidas. Estimulantes.
664	Fabricación y conservación de alimentos sólidos.
665	Fabricación de aceites, grasas y ceras. Adhesivos. Gomas. Resinas.
666	Industria del vidrio, cerámica, cemento y hormigón.
667	Industrias del color. Fabricación y uso de colorantes, tintas, pinturas, etc.
669	Metalurgia.
67/68	Industria y oficios diversos.
671	Joyería. Industrias de los metales y piedras preciosas.
672	Industrias de artículos de hierro y acero en general, metales no ferrosos ni preciosos.
674	Madera e industria de la madera.
675	Industria de cuero. Tratamiento de pieles.
676	Industria del papel y cartón.
677	Industria textil.
678	Industria del caucho. Industria de los plásticos.
679	Industria del cable y de la cordelería. Industrias de la piedra y otros productos naturales.
681	Mecánica de precisión. Relojería. Balanzas, básculas.
681.5	Ingeniería del control automático.
681.6	Máquinas reproductoras e impresoras.
681.7	Aparatos e instrumentos ópticos.
681.8	Técnica acústica. Instrumentos musicales.
682	Herrería. Trabajos de forja y fundición.
683	Ferretería. Cerrajería. Lámparas de combustión. Estufas, hornos, calentadores.
684	Industria del mueble y afines. Tapicería.
685	Guarnicionería. Marroquinería. Zapatería. Artículos de viaje, deportes y juegos.
686	Encuadernación. Dorado. Artículos de oficina.
687	Industria del vestido. Artículos de tocador.
687.5	Artículos de fantasía. Juguetes. Artículos de decoración.
688	Artículos de fantasía. Juguetes. Artículos de decoración.
689	Bricolaje. Aficiones técnicas o manuales.
69	Construcción. Trabajos y materiales de construcción en general.
691	Materiales de construcción y componentes.
692	Partes estructurales y elementos de la construcción.
693	Albañilería. Construcciones de hormigón y acero.
694	Construcción de madera. Carpintería. Ebanistería.
696	Instalaciones y servicios en la construcción (sanitarios, de gas, vapor, electricidad).
697	Instalaciones de calefacción, ventilación y climatización en los edificios.
699.8	Medidas de seguridad en los edificios.
7.	Arte en general. Bellas Artes. Deportes.
7.01	Teoría general del arte. Estética. Filosofía del arte.
7.025	Restauración.
7.03	Estilos artísticos.
7.032	Estilos de la antigüedad.
7.033	Arte medieval.
7.033.4	Arte románico.
7.033.5	Arte gótico.
7.034	Renacimiento. Barroco.
7.035	Neoclasicismo y movimiento romántico.
7.036	Movimientos artísticos modernos (siglo XX).
7.04	Iconografía.
7.074	Coleccionismo.
71	Urbanismo. Ordenación del territorio.
711.3	Ordenación rural. Desarrollo rural.
711.4	Ordenación urbana.
715	Ordenación del paisaje. Parques y jardines.
72	Arquitectura.
721	Edificios en general.
725	Edificios públicos. Edificios comerciales. Edificios administrativos.
726	Edificios religiosos. Edificios funerarios.
727	Edificios docentes. Edificios con finalidad científica y cultural.
728	Viviendas en general.
73	Artes plásticas. Escultura.
736	Arte de tallar piedras preciosas. Sigilografía.
737	Numismática.
738	Cerámica. Alfarería.
739	Trabajos artísticos en metal.
741	Dibujo en general.
742	Perspectiva en dibujo.
743	Dibujo anatómico.
744	Dibujo lineal y geométrico. Dibujo técnico.
745	Artesanía decorativa.
746	Trabajos manuales de aguja, rafia, mimbre, etc.
747	Decoraciones de interiores.
748	Vidrios y cristales artísticos.
749.1	Muebles artísticos.
75	Pintura.
76	Artes gráficas. Grabados.
77	Fotografía.
771	Equipo fotográfico.
772	Procedimientos fotomecánicos de reproducción.
778	Aplicaciones de la fotografía.
78	Música. Géneros musicales. Métodos y estudios de Música para los distintos instrumentos.
79	Diversiones. Juegos. Deportes. Espectáculos públicos.
791.4	Cine.
791.8	Circos. Zoológicos.
791.862	Corridas de toros. Tauromaquia.
792	Teatro. Teoría y técnica teatral.
793	Diversiones de sociedad. Baile.
794	Juegos de tablero y mesa.
794.1	Ajedrez.
796	Deportes. Juegos. Gimnasia. Ejercicios físicos.
796.3	Juegos de pelota.
796.4	Gimnasia. Atletismo.
796.5	Excursiones. Montañismo. Camping.
796.6	Deportes sobre ruedas. Ciclismo.
796.7	Automovilismo. Motociclismo.
796.8	Deportes de combate y defensa.
796.9	Deportes de invierno. Juegos sobre hielo.
797	Deportes acuáticos. Deportes aéreos.
798	Deportes hípicos.
799	Pesca deportiva. Caza deportiva. Tiro deportivo.
8	Lenguajes, Lingüística y Literatura 80 Lingüística. Filología.
80	Lingüística. Filología.
801.6	Métrica. Prosodia.
806	Lenguas ibéricas.
807	Lenguas clásicas.
81	Lingüística y lenguas.
811	Clasificación general de las lenguas.
811.11	Lenguas germánicas.
811.111	Inglés.
811.13	Lenguas romances.
811.131.1	Italiano.
811.133.1	Francés.
811.133.2	Provenzal.
811.134.1	Catalán.
811.134.11	Variedades del catalán. Valenciano.
811.134.2	Español.
811.134.2'282	Dialectos del español.
811.134.3	Portugués.
811.134.4	Gallego.
811.14'02	Griego clásico.
811.14'06	Griego moderno.
811.16/.17	Lenguas eslavas y bálticas.
811.361	Vasco (Euskera).
811.41/.87	Lenguas orientales, africanas y otras lenguas.
811.51	Lenguas uralo-altaicas (turanias, manchú, turco, húngaro, lapón...).
811.61	Lenguas austro-asiáticas (malayo-polinésicas, oceánicas).
811.8	Lenguas indias de América (Amerindias) (del norte, centro y sur de América).
811.92	Lenguajes artificiales para uso entre los hombres.
812.112.2	Alemán.
81'34	Fonética. Fonología.
81'35	Ortografía.
81'36	Gramática. Sintaxis.
81'373	Lexicología. Toponimia.
81'374	Lexicografía 82 Literatura general.
82	Literatura general.
82(09)	Crítica literaria. Historia de la literatura.
821.11	Literatura en otras lenguas germánicas. Historia y crítica. Obras.
821.111	Literatura en lengua inglesa. Historia y crítica. Obras.
821.111-1	Literatura en lengua inglesa. Poesía.
821.111-2	Literatura en lengua inglesa. Teatro.
821.111-3	Literatura en lengua inglesa. Novela y cuento.
821.111-4/-9	Literatura en lengua inglesa. Otros géneros.
821.112.2	Literatura en lengua alemana. Historia y crítica. Obras.
821.112.2-1	Literatura en lengua alemana. Poesía.
821.112.2-2	Literatura en lengua alemana. Teatro.
821.112.2-3	Literatura en lengua alemana. Novela y cuento.
821.112.2-4/-9	Literatura en lengua alemana. Otros géneros.
821.124	Literatura latina. Historia y crítica. Obras.
821.131.1	Literatura en lengua italiana. Historia y crítica. Obras.
821.131.1-1	Literatura en lengua italiana. Poesía.
821.131.1-2	Literatura en lengua italiana. Teatro.
821.131.1-3	Literatura en lengua italiana. Novela y cuento.
821.131.1-4/-9	Literatura en lengua italiana. Otros géneros.
821.133.1	Literatura en lengua francesa. Historia y crítica. Obras.
821.133.1-1	Literatura en lengua francesa. Poesía.
821.133.1-2	Literatura en lengua francesa. Teatro.
821.133.1-3	Literatura en lengua francesa. Novela y cuento.
821.133.1-4/-9	Literatura en lengua francesa. Otros géneros.
821.134.1	Literatura catalana. Historia y crítica.
821.134.1-1	Literatura catalana. Poesía.
821.134.1-2	Literatura catalana. Teatro.
821.134.1-3	Literatura catalana. Novela y cuento.
821.134.1-4/-9	Literatura catalana. Otros géneros.
821.134.2	Literatura española. Historia y crítica.
821.134.2-1	Literatura española. Poesía.
821.134.2-2	Literatura española. Teatro.
821.134.2'282	Literatura española dialectal.
821.134.2-3	Literatura española. Novela y cuento.
821.134.2-4/-9	Literatura española. Otros géneros.
821.134.27	Literatura de América del Norte y Central en lengua española.
821.134.27-1	Literatura de América del Norte y Central en lengua española.
821.134.272	Literatura mexicana. Historia y crítica. Obras.
821.134.27-2	Literatura de América del Norte y Central en lengua española.
821.134.272.81	Literatura guatemalteca. Historia y crítica. Obras.
821.134.272.81-1	Literatura guatemalteca. Poesía.
821.134.272.81-2	Literatura guatemalteca. Teatro.
821.134.272.81-3	Literatura guatemalteca. Novela y cuento.
821.134.272.81-4/-9	Literatura guatemalteca. Otros géneros.
821.134.272.83	Literatura hondureña. Historia y crítica. Obras.
821.134.272.83-1	Literatura hondureña. Poesía.
821.134.272.83-2	Literatura hondureña. Teatro.
821.134.272.83-3	Literatura hondureña. Novela y cuento.
821.134.272.83-4/-9	Literatura hondureña. Otros géneros.
821.134.272.84	Literatura salvadoreña. Historia y crítica. Obras.
821.134.272.84-1	Literatura salvadoreña. Poesía.
821.134.272.84-2	Literatura salvadoreña. Teatro.
821.134.272.84-3	Literatura salvadoreña. Novela y cuento.
821.134.272.84-4/-9	Literatura salvadoreña. Otros géneros.
821.134.272.85	Literatura nicaragüense. Historia y crítica. Obras.
821.134.272.85-1	Literatura nicaragüense. Poesía.
821.134.272.85-2	Literatura nicaragüense. Teatro.
821.134.272.85-3	Literatura nicaragüense. Novela y cuento.
821.134.272.85-4/-9	Literatura nicaragüense. Otros géneros.
821.134.272.86	Literatura costarricense. Historia y crítica. Obras.
821.134.272.86-1	Literatura costarricense. Poesía.
821.134.272.86-2	Literatura costarricense. Teatro.
821.134.272.86-3	Literatura costarricense. Novela y cuento.
821.134.272.86-4/-9	Literatura costarricense. Otros géneros.
821.134.272.87	Literatura panameña. Historia y crítica. Obras.
821.134.272.87-1	Literatura panameña. Poesía.
821.134.272.87-2	Literatura panameña. Teatro.
821.134.272.87-3	Literatura panameña. Novela y cuento.
821.134.272.87-4/-9	Literatura panameña. Otros géneros.
821.134.272.91	Literatura cubana. Historia y crítica. Obras.
821.134.272.91-1	Literatura cubana. Poesía.
821.134.272.91-2	Literatura cubana. Teatro.
821.134.272.91-3	Literatura cubana. Novela y cuento.
821.134.272.91-4/-9	Literatura cubana. Otros géneros.
821.134.272.93	Literatura dominicana. Historia y crítica. Obras.
821.134.272.93-4/-9	Literatura dominicana. Otros géneros.
821.134.272.95	Literatura puertorriqueña. Historia y crítica. Obras.
821.134.272.95-1	Literatura puertorriqueña. Poesía.
821.134.272.95-2	Literatura puertorriqueña. Teatro.
821.134.272.95-3	Literatura puertorriqueña. Novela y cuento.
821.134.272.95-4/-9	Literatura puertorriqueña. Otros géneros.
821.134.272-1	Literatura mexicana. Poesía.
821.134.272-2	Literatura mexicana. Teatro.
821.134.272-3	Literatura mexicana. Novela y cuento.
821.134.272-4/-9	Literatura mexicana. Otros géneros.
821.134.27-3	Literatura de América del Norte y Central en lengua española.
821.134.27-4/-9	Literatura de América del Norte y Central en lengua española. Otros géneros.
821.134.28	Literatura de América del Sur en lengua española. Historia y crítica. Obras.
821.134.28-1	Literatura de América del Sur en lengua española. Poesía.
821.134.282	Literatura argentina. Historia y crítica. Obras.
821.134.28-2	Literatura de América del Sur en lengua española. Teatro.
821.134.282-1	Literatura argentina. Poesía.
821.134.282-2	Literatura argentina. Teatro.
821.134.282-3	Literatura argentina. Novela y cuento.
821.134.282-4/-9	Literatura argentina. Otros géneros.
821.134.283	Literatura chilena. Historia y crítica. Obras.
821.134.28-3	Literatura de América del Sur en lengua española. Novela y cuento.
821.134.283-1	Literatura chilena. Poesía.
821.134.283-2	Literatura chilena. Teatro.
821.134.283-3	Literatura chilena. Novela y cuento.
821.134.283-4/-9	Literatura chilena. Otros géneros.
821.134.284	Literatura boliviana. Historia y crítica. Obras.
821.134.28-4/-9	Literatura de América del Sur en lengua española. Otros géneros.
821.134.284-1	Literatura boliviana. Poesía.
821.134.284-2	Literatura boliviana. Teatro.
821.134.284-3	Literatura boliviana. Novela y cuento.
821.134.284-4/-9	Literatura boliviana. Otros géneros.
821.134.285	Literatura peruana. Historia y crítica. Obras.
821.134.285-1	Literatura peruana. Poesía.
821.134.285-2	Literatura peruana. Teatro.
821.134.285-3	Literatura peruana. Novela y cuento.
821.134.285-4/-9	Literatura peruana. Otros géneros.
821.134.286.1	Literatura colombiana. Historia y crítica. Obras.
821.134.286.1-1	Literatura colombiana. Poesía.
821.134.286.1-2	Literatura colombiana. Teatro.
821.134.286.1-3	Literatura colombiana. Novela y cuento.
821.134.286.1-4/-9	Literatura colombiana. Otros géneros.
821.134.286.6	Literatura ecuatoriana. Historia y crítica. Obras.
821.134.286.6-1	Literatura ecuatoriana. Poesía.
821.134.286.6-2	Literatura ecuatoriana. Teatro.
821.134.286.6-3	Literatura ecuatoriana. Novela y cuento.
821.134.286.6-4/-9	Literatura ecuatoriana. Otros géneros.
821.134.287	Literatura venezolana. Historia y crítica. Obras.
821.134.287-1	Literatura venezolana. Poesía.
821.134.287-2	Literatura venezolana. Teatro.
821.134.287-3	Literatura venezolana. Novela y cuento.
821.134.287-4/-9	Literatura venezolana. Otros géneros.
821.134.289.2	Literatura paraguaya. Historia y crítica. Obras.
821.134.289.2-1	Literatura paraguaya. Poesía.
821.134.289.2-2	Literatura paraguaya. Teatro.
821.134.289.2-3	Literatura paraguaya. Novela y cuento.
821.134.289.2-4/-9	Literatura paraguaya. Otros géneros.
821.134.289.9	Literatura uruguaya. Historia y crítica. Obras.
821.134.289.9-1	Literatura uruguaya. Poesía.
821.134.289.9-2	Literatura uruguaya. Teatro.
821.134.289.9-3	Literatura uruguaya. Novela y cuento.
821.134.289.9-4/-9	Literatura uruguaya. Otros géneros.
821.134.3	Literatura en lengua portuguesa. Historia y crítica. Obras.
821.134.3-1	Literatura en lengua portuguesa. Poesía.
821.134.3-2	Literatura en lengua portuguesa. Teatro.
821.134.3-3	Literatura en lengua portuguesa. Novela y cuento.
821.134.3-4/9	Literatura en lengua portuguesa. Otros géneros.
821.134.4	Literatura gallega. Historia y crítica. Obras.
821.134.4-1	Literatura gallega. Poesía.
821.134.4-2	Literatura gallega. Teatro.
821.134.4-3	Literatura gallega. Novela y cuento.
821.134.4-4/-9	Literatura gallega. Otros géneros.
821.14'02	Literatura griega clásica. Historia y crítica. Obras.
821.14'06	Literatura griega moderna. Historia y crítica. Obras.
821.16/.17	Literaturas eslavas y bálticas.
821.161.1	Literatura rusa. Historia y crítica. Obras.
821.162.1	Literatura polaca. Historia y crítica. Obras.
821.162.3	Literatura checa.
821.163	Literatura búlgara, serbia y croata.
821.361	Literatura vasca (en euskera). Historia y crítica. Obras.
821.361-1	Literatura vasca (en euskera). Poesía.
821.361-2	Literatura vasca (en euskera). Teatro.
821.361-3	Literatura vasca (en euskera). Novela y cuento.
821.361-4/-9	Literatura vasca (en euskera). Otros géneros.
821.411.21	Literatura árabe.
821.521	Literatura japonesa. Historia y crítica. Obras.
82-993	Literatura licenciosa, erótica y pornográfica.
87	Literaturas clásicas. Historia y crítica. Obras.
89	Otras literaturas.
